"Gene","KEGG_ID"
"taes:123105214","taes:123105214"
"taes:123105232","taes:123105232"
"taes:123105658","taes:123105658"
"taes:123105863","taes:123105863"
"taes:123106994","taes:123106994"
"taes:123108104","taes:123108104"
"taes:123110116","taes:123110116"
"taes:123110244","taes:123110244"
"taes:123110723","taes:123110723"
"taes:123111014","taes:123111014"
"taes:123111930","taes:123111930"
"taes:123112619","taes:123112619"
"taes:123113200","taes:123113200"
"taes:123113336","taes:123113336"
"taes:123113465","taes:123113465"
"taes:123113485","taes:123113485"
"taes:123113497","taes:123113497"
"taes:123113978","taes:123113978"
"taes:123114079","taes:123114079"
"taes:123119122","taes:123119122"
"taes:123119286","taes:123119286"
"taes:123119724","taes:123119724"
"taes:123120043","taes:123120043"
"taes:123121388","taes:123121388"
"taes:123121487","taes:123121487"
"taes:123122107","taes:123122107"
"taes:123122721","taes:123122721"
"taes:123123009","taes:123123009"
"taes:123123023","taes:123123023"
"taes:123123478","taes:123123478"
"taes:123124739","taes:123124739"
"taes:123127465","taes:123127465"
"taes:123127591","taes:123127591"
"taes:123127746","taes:123127746"
"taes:123128418","taes:123128418"
"taes:123130094","taes:123130094"
"taes:123131653","taes:123131653"
"taes:123132662","taes:123132662"
"taes:123136754","taes:123136754"
"taes:123137280","taes:123137280"
"taes:123137328","taes:123137328"
"taes:123137501","taes:123137501"
"taes:123138646","taes:123138646"
"taes:123139919","taes:123139919"
"taes:123141350","taes:123141350"
"taes:123143036","taes:123143036"
"taes:123144240","taes:123144240"
"taes:123144538","taes:123144538"
"taes:123144694","taes:123144694"
"taes:123144854","taes:123144854"
"taes:123145538","taes:123145538"
"taes:123146225","taes:123146225"
"taes:123147405","taes:123147405"
"taes:123147503","taes:123147503"
"taes:123147663","taes:123147663"
"taes:123148291","taes:123148291"
"taes:123148541","taes:123148541"
"taes:123149330","taes:123149330"
"taes:123150387","taes:123150387"
"taes:123150992","taes:123150992"
"taes:123151993","taes:123151993"
"taes:123155652","taes:123155652"
"taes:123156079","taes:123156079"
"taes:123156423","taes:123156423"
"taes:123157230","taes:123157230"
"taes:123157439","taes:123157439"
"taes:123160228","taes:123160228"
"taes:123164266","taes:123164266"
"taes:123164448","taes:123164448"
"taes:123164693","taes:123164693"
"taes:123164759","taes:123164759"
"taes:123164772","taes:123164772"
"taes:123167622","taes:123167622"
"taes:123169042","taes:123169042"
"taes:123169447","taes:123169447"
"taes:123180227","taes:123180227"
"taes:123180580","taes:123180580"
"taes:123180603","taes:123180603"
