"","name","CleanNames","ShortAnnotation","Description"
"105","'FA 20:5;O/ST 20:2;O3'","FA 20:5;O | NA","Fatty acids | NA","MainClass=[Fatty acids | NA],ExtendedClass=[Fatty acids | NA],FunctionalClass=[Fatty acids | NA],Mass=[318.21949494 | NA],Formula=[C20H30O3 | NA]"
"106","'FA 20:5;O2/ST 20:2;O4'","FA 20:5;O2 | NA","Fatty acids | NA","MainClass=[Fatty acids | NA],ExtendedClass=[Fatty acids | NA],FunctionalClass=[Fatty acids | NA],Mass=[334.21440957 | NA],Formula=[C20H30O4 | NA]"
"107","'FA 21:6/ST 21:3;O2'","FA 21:6 | ST 21:3;O2","Fatty acids | Steroids","MainClass=[Fatty acids | Steroids],ExtendedClass=[Fatty acids | Sterols],FunctionalClass=[Fatty acids | C21 Steroids],Mass=[314.22458031 | 314.224580],Formula=[C21H30O2]"
"109","'FA 22:5;O4/ST 22:2;O6'","FA 22:5;O4 | ST 22:2;O6","Fatty acids | Sterols/Bile acids(In-silico)","MainClass=[Fatty acids | Sterols/Bile acids(In-silico)],ExtendedClass=[Fatty acids | Sterols],FunctionalClass=[Fatty acids | Sterols/C22 Bile acids(In-silico)],Mass=[394.23553897 | 394.235540],Formula=[C22H34O6]"
"110","'FA 22:6/ST 22:3;O2'","FA 22:6 | ST 22:3;O2","Fatty acids | Sterols(In silico)","MainClass=[Fatty acids | Sterols(In silico)],ExtendedClass=[Fatty acids | Sterols],FunctionalClass=[Fatty acids | Sterols(In silico)],Mass=[328.24023038 | 328.240230],Formula=[C22H32O2]"
"111","'FA 23:6;O/ST 23:3;O3'","FA 23:6;O | ST 23:3;O3","Fatty acids | Sterols/Bile acids(In-silico)","MainClass=[Fatty acids | Sterols/Bile acids(In-silico)],ExtendedClass=[Fatty acids | Sterols],FunctionalClass=[Fatty acids | Sterols/C23 Bile acids(In-silico)],Mass=[358.25079508 | 358.250795],Formula=[C23H34O3]"
"112","'FA 23:6;O2/ST 23:3;O4'","FA 23:6;O2 | ST 23:3;O4","Fatty acids | Sterols/Bile acids(In-silico)","MainClass=[Fatty acids | Sterols/Bile acids(In-silico)],ExtendedClass=[Fatty acids | Sterols],FunctionalClass=[Fatty acids | Sterols/C23 Bile acids(In-silico)],Mass=[374.24570971 | 374.245710],Formula=[C23H34O4]"
"113","'LPA 16:2;O/LPG O-13:3'","LPA 16:2;O | LPG O-13:3","Lipoprotein A | lysophosphatidylglycerol","MainClass=[Lipoprotein A | lysophosphatidylglycerol],ExtendedClass=[Lipoprotein A | lysophosphatidylglycerol],FunctionalClass=[Lipoprotein A | lysophosphatidylglycerol],Mass=[422.206955265],Formula=[C19H35O8P]"
"114","'LPA O-15:2'","LPA O-15:2","Lipoprotein A","MainClass=[Lipoprotein A],ExtendedClass=[Lipoprotein A],FunctionalClass=[Lipoprotein A],Mass=[378.217126005],Formula=[C18H35O6P]"
"115","'LPA O-16:2'","LPA O-16:2","Glycerophosphates","MainClass=[Glycerophosphates],ExtendedClass=[Sterols],FunctionalClass=[O-LPA],Mass=[392.232778],Formula=[C19H37O6P]"
